字,筆畫
亾,3
兦,3
凣,3
刄,3
劜,3
卄,3
夂,3
夊,3
宀,3
巛,3
幺,3
广,3
廴,3
彐,3
彑,3
彡,3
阝,3
𠔼,3
𠙵,3
勺,3
卂,3
卪,3
孒,3
𡤼,3
尢,3
屮,3
忄,3
扌,3
犭,3
𠃒,3
𠄑,3
𠁾,3
𠫓,3
𡕒,3
𡳾,3
𢖩,3
𣥂,3
𠀄,3
𠀅,3
𠀃,3
㐄,3
丸,3
𠁽,3
𠂍,3
𠆣,3
𠆤,3
𠓛,3
𠔀,3
刃,3
𠚣,3
𠠲,3
㔿,3
𠫔,3
𠫕,3
𡰣,3
𢌬,3
𢍺,3
󿰙,3
，,1
、,1
。,1
．,1
‧,1
﹐,1
﹑,1
﹒,1
·,1
｜,1
―,1
︱,1
—,1
︳,1
╴,1
︴,1
﹏,1
（,1
）,1
︵,1
︶,1
｛,1
｝,1
︷,1
︸,1
〔,1
〕,1
︹,1
︺,1
【,1
】,1
︻,1
︼,1
０,1
１,1
２,1
３,1
６,1
７,1
８,1
９,1
〡,1
⼀,1
⼁,1
⼂,1
⼃,1
⼄,1
⼅,1
〇,1
一,1
乙,1
丨,1
丶,1
丿,1
亅,1
𠂆,1
乀,1
乁,1
乚,1
𡿨,1
𠃑,1
𠃋,1
𠃉,1
𠄌,1
乁,1
𠃊,1
𠃌,1
𠃍,1
󻑔,1
乛,1
󰂗,1
；,2
：,2
？,2
！,2
︰,2
‥,2
﹔,2
﹕,2
﹖,2
﹗,2
《,2
〢,2
〤,2
⼆,2
亠,2
⼈,2
⼉,2
⼊,2
⼋,2
⼌,2
⼍,2
冫,2
⼏,2
⼐,2
⼑,2
⼒,2
勹,2
⼔,2
⼕,2
⼖,2
⼗,2
⼘,2
⼙,2
⼚,2
⼛,2
⼜,2
󹇑,2
󹇒,2
󹇓,2
󹇔,2
󹇕,2
󹇖,2
󹇗,2
󹇘,2
󹇙,2
󹇚,2
󹇛,2
󹇜,2
󹇝,2
󹇞,2
󹇟,2
󹇠,2
󹇷,2
丁,2
七,2
乃,2
九,2
了,2
二,2
人,2
儿,2
入,2
八,2
几,2
刀,2
刁,2
力,2
匕,2
十,2
卜,2
又,2
乂,2
乜,2
凵,2
匚,2
厂,2
丅,2
丄,2
冂,2
冖,2
匸,2
卩,2
厶,2
